,Media,Date,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,@BBCWorld,Tue Jul 10 20:07:37 +0000 2018,Prince Harry and Meghan arrive in the Republic of Ireland https://t.co/gjRjoWzI9V,0.0,0.0,0.0,1.0,1
1,@BBCWorld,Tue Jul 10 20:00:02 +0000 2018,"RT @BBCSport: France have booked their place in the #WorldCup final, where they'll meet either Croatia or England.

#FRABEL report: https:/…",0.0,0.0,0.0,1.0,2
2,@BBCWorld,Tue Jul 10 19:54:14 +0000 2018,"RT @BBCSport: FT: #FRA 1-0 #BEL 

France are into their third #WorldCup final! 

Samuel Umtiti's 51st minute header gives Les Bleus victory…",0.0,0.0,0.0,1.0,3
3,@BBCWorld,Tue Jul 10 19:53:56 +0000 2018,Cave rescue: The divers who got the Thai boys out https://t.co/iVJlhirMXe,0.5106,0.248,0.0,0.752,4
4,@BBCWorld,Tue Jul 10 19:27:46 +0000 2018,US mum and daughter 'questioned over different surnames' https://t.co/qbOFzai5sA,-0.1027,0.0,0.149,0.851,5
5,@BBCWorld,Tue Jul 10 19:25:42 +0000 2018,"RT @BBCNews: By measuring stress and anxiety levels, this wristband could help people manage severe autism

https://t.co/qkrzW7TnSw https:/…",-0.5267,0.113,0.298,0.588,6
6,@BBCWorld,Tue Jul 10 19:09:39 +0000 2018,"RT @BBCSport: GOAL: #FRA 1-0 #BEL 

Samuel Umtiti with the header! The defender gets up above Fellaini from a corner.

📺 @BBCOne 
#FRABEL #…",0.1759,0.071,0.0,0.929,7
7,@BBCWorld,Tue Jul 10 18:52:19 +0000 2018,"No hopscotch, no hockey: Canada neighbourhood bans outside fun https://t.co/ZFvTItfrKs",-0.0258,0.224,0.299,0.476,8
8,@BBCWorld,Tue Jul 10 18:51:51 +0000 2018,"RT @BBCNewsbeat: Why WAS Elon Musk at the #ThaiCaveRescue? 🐗🇹🇭  

https://t.co/9HQn1XSkL0",0.0,0.0,0.0,1.0,9
9,@BBCWorld,Tue Jul 10 18:47:06 +0000 2018,"RT @BBCSport: HT: #FRA 0-0 #BEL 

Both sides have had chances, but there's no joy in the first half.

📺 @BBCOne 
#FRABEL #WorldCup 
https:/…",0.5859,0.217,0.092,0.691,10
